"","Name","Studios","Score","Popularity","Source"
"1722","Shinkansen Henkei Robo Shinkalion The Animation","OLM","6.78",8246,"Other"
"1723","Granblue Fantasy The Animation Season 2","MAPPA","6.78",2345,"Game"
"1724","3D Kanojo: Real Girl","Hoods Entertainment","6.78",695,"Manga"
"1725","Chuubyou Gekihatsu Boy","Studio Deen","6.78",2785,"Novel"
"1726","Midara na Ao-chan wa Benkyou ga Dekinai","SILVER LINK.","6.78",922,"Manga"
"1727","Koutetsu Tenshi Kurumi","OLM, Production Reed","6.79",3558,"Original"
"1728","Kingyo Chuuihou!","Toei Animation","6.79",8672,"Unknown"
"1729","Chocotto Sister","Nomad","6.79",3755,"Manga"
"1730","Doujin Work","Remic","6.79",3255,"4-koma manga"
"1731","Dr. Rin ni Kiitemite!","Studio Comet","6.79",7581,"Manga"
"1732","TaoTao Ehonkan Sekai Doubutsu Banashi","Unknown","6.79",10530,"Original"
"1733","Getter Robo","Toei Animation","6.79",6092,"Manga"
"1734","Kyojin no Hoshi","TMS Entertainment","6.79",9039,"Manga"
"1735","Princess Lover!","GoHands","6.79",852,"Visual novel"
"1736","Teekyuu 3","MAPPA","6.79",3460,"Manga"
"1737","Yu☆Gi☆Oh! Arc-V","Gallop","6.79",2383,"Manga"
"1738","Cardfight!! Vanguard: Legion Mate-hen","TMS Entertainment","6.79",4564,"Original"
"1739","Sword Art Online II","A-1 Pictures","6.79",23,"Light novel"
"1740","Itoshi no Muco","DLE","6.79",5858,"Manga"
"1741","Schwarzesmarken","ixtl, LIDENFILMS","6.79",1487,"Light novel"
"1742","Koneko no Chi: Ponponra Daibouken","Marza Animation Planet","6.79",5989,"Manga"
"1743","Devils Line","Platinum Vision","6.79",910,"Manga"
"1744","Inazuma Eleven: Orion no Kokuin","OLM","6.79",4139,"Game"
"1745","Idoly Pride","Lerche","6.79",4224,"Original"
"1746","Maburaho","J.C.Staff","6.8",1583,"Light novel"
"1747","Gunparade March: Arata Naru Kougunka","J.C.Staff","6.8",4264,"Game"
"1748","Argento Soma","Sunrise","6.8",3511,"Original"
"1749","Hanaukyou Maid-tai: La Verite","Daume","6.8",3653,"Manga"
"1750","Silent Möbius","Radix","6.8",4609,"Manga"
"1751","Ikkitousen: Dragon Destiny","Arms","6.8",1862,"Manga"
"1752","Maple Town Monogatari","Toei Animation","6.8",8889,"Unknown"
"1753","Gekitou! Crush Gear Turbo","Sunrise","6.8",6466,"Unknown"
"1754","Uchuusen Sagittarius","Nippon Animation","6.8",10561,"Picture book"
"1755","Pygmalio","Nippon Animation","6.8",10165,"Manga"
"1756","Fireball Charming","Jinnis Animation Studios","6.8",5556,"Original"
"1757","Metal Fight Beyblade 4D","SynergySP","6.8",3143,"Manga"
"1758","Brave 10","TMS Entertainment","6.8",1131,"Manga"
"1759","Code:Breaker","Kinema Citrus","6.8",568,"Manga"
"1760","gdgd Fairies","Unknown","6.8",6882,"Original"
"1761","Shinmai Maou no Testament","Production IMS","6.8",261,"Light novel"
"1762","Koufuku Graffiti","Shaft","6.8",1816,"4-koma manga"
"1763","Micchiri Neko","helo.inc","6.8",5761,"Web manga"
"1764","Bakuretsu Tenshi","Gonzo","6.81",1965,"Original"
"1765","I My Me! Strawberry Eggs","TNK","6.81",2808,"Original"
"1766","Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida","ufotable","6.81",6463,"Light novel"
"1767","YAT Anshin! Uchuu Ryokou 2","Group TAC","6.81",10910,"Original"
"1768","Ninja Hattori-kun","Shin-Ei Animation","6.81",5799,"Manga"
"1769","Onegai My Melody Sukkiri♪","Studio Comet","6.81",8783,"Unknown"
"1770","Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken","SILVER LINK.","6.81",724,"Light novel"
"1771","Seikaisuru Kado","Toei Animation","6.81",1473,"Original"
"1772","Babylon","Revoroot","6.81",1359,"Novel"
"1773","Beatless Final Stage","Diomedéa","6.81",3196,"Light novel"
"1774","22/7","A-1 Pictures","6.81",3028,"Other"
"1775","Majutsushi Orphen: Revenge","J.C.Staff","6.82",4189,"Light novel"
"1776","Monster Farm: Enbanseki no Himitsu","TMS Entertainment","6.82",2691,"Game"
"1777","Kodomo no Jikan (TV)","Diomedéa","6.82",1431,"Manga"
"1778","Juuni Senshi Bakuretsu Eto Ranger","Shaft","6.82",9384,"Original"
"1779","Idol Densetsu Eriko","Production Reed","6.82",7080,"Original"
"1780","Ganbare! Kickers","Studio Pierrot","6.82",5476,"Manga"
"1781","Blade of the Immortal","Bee Train","6.82",2084,"Manga"
"1782","Ougon Yuusha Goldran","Sunrise","6.82",8894,"Original"
"1783","Yama no Susume","8bit","6.82",1976,"Manga"
"1784","Freezing Vibration","A.C.G.T.","6.82",1068,"Manga"
"1785","Nourin","SILVER LINK.","6.82",1003,"Light novel"
"1786","Pupipo!","AIC PLUS+","6.82",3803,"Manga"
"1787","Seireitsukai no Blade Dance","TNK","6.82",499,"Light novel"
"1788","Brave Witches","SILVER LINK.","6.82",2303,"Original"
"1789","Touken Ranbu: Hanamaru","Doga Kobo","6.82",1864,"Game"
"1790","Corrector Yui","Nippon Animation","6.83",4519,"Original"
"1791","El Hazard: The Alternative World","AIC","6.83",4961,"Original"
"1792","Animal Yokochou","Gallop","6.83",8571,"Manga"
"1793","Lamune","Trinet Entertainment, Picture Magic","6.83",2643,"Visual novel"
"1794","Chikyuu Shoujo Arjuna","Satelight","6.83",3194,"Original"
"1795","Hyakujuu-Ou GoLion","Toei Animation","6.83",4899,"Original"
"1796","VS Knight Lamune & 40 Fire","Production Reed","6.83",8637,"Original"
"1797","Anime 80-nichikan Sekai Isshuu","Nippon Animation","6.83",7109,"Novel"
"1798","Buzzer Beater 2nd Season","TMS Entertainment","6.83",5537,"Web manga"
"1799","Saikyou Bushouden: Sangoku Engi","Future Planet, Beijing Huihuang Animation Company","6.83",8693,"Novel"
"1800","Hyakka Ryouran: Samurai Girls","Arms","6.83",973,"Light novel"
"1801","Netoge no Yome wa Onnanoko ja Nai to Omotta?","Project No.9","6.83",348,"Light novel"
"1802","Ensemble Stars!","David Production","6.83",3018,"Game"
"1803","Bubuki Buranki: Hoshi no Kyojin","SANZIGEN","6.83",3387,"Original"
"1804","Masamune-kun no Revenge","SILVER LINK.","6.83",207,"Manga"
"1805","Toji no Miko","Studio Gokumi","6.83",1933,"Original"
"1806","Akkun to Kanojo","Yumeta Company","6.83",1387,"Manga"
"1807","Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season","Studio Deen","6.83",3844,"Manga"
"1808","Aikatsu on Parade!","Bandai Namco Pictures","6.83",7353,"Game"
"1809","Ikebukuro West Gate Park","Doga Kobo","6.83",1856,"Novel"
"1810","Noblesse","Production I.G","6.83",933,"Web manga"
"1811","Happy☆Lesson: Advance","Studio Hibari","6.84",4410,"Manga"
"1812","Kogepan","Studio Pierrot","6.84",6186,"Other"
"1813","Innocent Venus","Brain's Base","6.84",3326,"Original"
"1814","Super Robot Taisen OG: Divine Wars","OLM","6.84",5725,"Game"
"1815","Peter Pan no Bouken","Nippon Animation","6.84",7386,"Book"
"1816","Shinkyoku Soukai Polyphonica","Ginga Ya","6.84",3021,"Visual novel"
"1817","Rosario to Vampire","Gonzo","6.84",208,"Manga"
"1818","Tytania","Artland","6.84",3908,"Light novel"
"1819","Muka Muka Paradise","Nippon Animation","6.84",8746,"Unknown"
"1820","Heroman","Bones","6.84",2769,"Original"
"1821","Yozakura Quartet","Nomad","6.84",1221,"Manga"
"1822","Shin Koihime†Musou","Doga Kobo","6.84",3089,"Visual novel"
"1823","White Album 2nd Season","Seven Arcs","6.84",2530,"Visual novel"
"1824","Ro-Kyu-Bu!","Barnum Studio, Project No.9, Studio Blanc","6.84",1805,"Light novel"
"1825","Cardfight!! Vanguard: Asia Circuit-hen","TMS Entertainment","6.84",3702,"Original"
"1826","Pokemon Sun & Moon","OLM","6.84",1862,"Game"
"1827","Dear Boys","A.C.G.T.","6.85",3745,"Manga"
"1828","NieA Under 7","Triangle Staff","6.85",3083,"Original"
"1829","Hana no Ko Lunlun","Toei Animation","6.85",7093,"Original"
"1830","Wellber no Monogatari: Sisters of Wellber Zwei","Trans Arts","6.85",6827,"Original"
"1831","Neo Angelique Abyss","Yumeta Company","6.85",2816,"Visual novel"
"1832","Black★Rock Shooter (TV)","Ordet, SANZIGEN","6.85",466,"Other"
"1833","Yu☆Gi☆Oh! Zexal Second","Gallop","6.85",3122,"Manga"
"1834","Koukaku Kidoutai Nyuumon Arise","Production I.G","6.85",5700,"Unknown"
"1835","Majimoji Rurumo","J.C.Staff","6.85",1940,"Manga"
"1836","Etotama","Shirogumi, Encourage Films","6.85",1817,"Original"
"1837","Atom: The Beginning","Production I.G, OLM, Signal.MD","6.85",3165,"Manga"
"1838","Loveless","J.C.Staff","6.86",1215,"Manga"
"1839","Pokemon Housoukyoku","OLM","6.86",3370,"Game"
"1840","Rockman.EXE Beast+","Xebec","6.86",6347,"Game"
"1841","Ginga Tetsudou Monogatari: Eien e no Bunkiten","Unknown","6.86",7626,"Original"
"1842","Juushin Enbu: Hero Tales","Studio Flag","6.86",3379,"Manga"
"1843","Tsuyoshi Shikkari Shinasai","Unknown","6.86",9186,"Manga"
"1844","Keroro","Sunrise","6.86",5651,"Unknown"
"1845","Sunohara-sou no Kanrinin-san","SILVER LINK.","6.86",1439,"4-koma manga"
"1846","Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!","Project No.9","6.86",1315,"Light novel"
"1847","Kouya no Kotobuki Hikoutai","WAO World, GEMBA","6.86",3167,"Original"
"1848","Kami-tachi ni Hirowareta Otoko","Maho Film","6.86",1585,"Light novel"
"1849","Hanyou no Yashahime: Sengoku Otogizoushi","Sunrise","6.86",1709,"Original"
"1850","Kamisama ni Natta Hi","P.A. Works","6.86",920,"Original"
"1851","Kai Byoui Ramune","Platinum Vision","6.86",2995,"Manga"
"1852","Kannazuki no Miko","TNK","6.87",2000,"Manga"
"1853","Shin Tenchi Muyou!","AIC","6.87",2912,"Original"
"1854","Juubee-chan 2: Siberia Yagyuu no Gyakushuu","Madhouse","6.87",5069,"Original"
"1855","Bomberman Jetters","Studio Deen","6.87",7508,"Game"
"1856","Kishin Taisen Gigantic Formula","Brain's Base","6.87",6034,"Original"
"1857","Super Fishing Grander Musashi","Nippon Animation","6.87",7382,"Unknown"
"1858","Hidamari no Ki","Madhouse","6.87",8752,"Manga"
"1859","Yuusha Shirei Dagwon","Sunrise","6.87",9451,"Original"
"1860","Tsurupika Hagemaru-kun","Shin-Ei Animation","6.87",9148,"4-koma manga"
"1861","Kill Me Baby","J.C.Staff","6.87",1426,"4-koma manga"
"1862","Recorder to Randoseru Re♪","Seven","6.87",3299,"4-koma manga"
"1863","Sengoku Basara: Judge End","Telecom Animation Film","6.87",3367,"Game"
"1864","Stella no Mahou","SILVER LINK.","6.87",2785,"4-koma manga"
"1865","Satsuriku no Tenshi","J.C.Staff","6.87",351,"Game"
"1866","Dagashi Kashi 2","Tezuka Productions","6.87",1259,"Manga"
"1867","Radiant","Lerche","6.87",1039,"Other"
"1868","Double Decker! Doug & Kirill","Sunrise","6.87",2928,"Original"
"1869","Nakanohito Genome [Jikkyouchuu]","SILVER LINK.","6.87",1595,"Web manga"
"1870","Koisuru Asteroid","Doga Kobo","6.87",2010,"4-koma manga"
"1871","Onegai☆Twins","Daume","6.88",1699,"Original"
"1872","Agatha Christie no Meitantei Poirot to Marple","OLM","6.88",5915,"Novel"
"1873","Sakura Taisen","Madhouse","6.88",3708,"Game"
"1874","Binbou Shimai Monogatari","Toei Animation","6.88",3855,"Manga"
"1875","Hakaima Sadamitsu","Studio Deen","6.88",6498,"Manga"
"1876","Koisuru Tenshi Angelique: Kokoro no Mezameru Toki","Satelight","6.88",4911,"Game"
"1877","Kiddy GiRL-AND","Satelight","6.88",4022,"Original"
"1878","Tottemo! Luckyman","Studio Pierrot","6.88",9464,"Manga"
"1879","Senkou no Night Raid","A-1 Pictures","6.88",2568,"Original"
"1880","Hidan no Aria","J.C.Staff","6.88",450,"Light novel"
"1881","Kantai Collection: KanColle","Diomedéa","6.88",795,"Game"
"1882","Kaitou Joker","Shin-Ei Animation","6.88",4736,"Manga"
"1883","Gi(a)rlish Number","Diomedéa","6.88",1537,"Original"
"1884","Healin' Good♡Precure","Toei Animation","6.88",5931,"Original"
"1885","Overman King Gainer","Sunrise","6.89",4862,"Original"
"1886","Muteki Choujin Zanbot 3","Sunrise","6.89",7461,"Original"
"1887","Zombie-Loan","Xebec","6.89",1185,"Manga"
"1888","Minami no Niji no Lucy","Nippon Animation","6.89",9343,"Unknown"
"1889","Shippuu! Iron Leaguer","Sunrise","6.89",10453,"Original"
"1890","Makiba no Shoujo Katri","Nippon Animation","6.89",8168,"Novel"
"1891","Dennou Boukenki Webdiver","Nippon Animation","6.89",8917,"Original"
"1892","Croket!","OLM","6.89",10771,"Manga"
"1893","Goal FH: Field Hunter","Unknown","6.89",9657,"Manga"
"1894","Kanamemo","feel.","6.89",2790,"4-koma manga"
"1895","Ichiban Ushiro no Daimaou","Artland","6.89",333,"Light novel"
"1896","Cyborg 009 (TV)","Toei Animation","6.89",6350,"Manga"
"1897","Zetman","TMS Entertainment","6.89",1295,"Manga"
"1898","Hagure Yuusha no Aesthetica","Arms","6.89",431,"Light novel"
"1899","Devil Survivor 2 The Animation","Bridge","6.89",993,"Game"
"1900","Binan Koukou Chikyuu Boueibu LOVE!","Diomedéa","6.89",1809,"Original"
"1901","Kyoukai no Rinne (TV)","Brain's Base","6.89",1721,"Manga"
"1902","Musaigen no Phantom World","Kyoto Animation","6.89",342,"Light novel"
"1903","Starmyu 3rd Season","C-Station","6.89",5494,"Original"
"1904","Happy Sugar Life","Ezόla","6.89",800,"Manga"
"1905","Aikatsu Friends!: Kagayaki no Jewel","Bandai Namco Pictures","6.89",7441,"Game"
"1906","No Guns Life","Madhouse","6.89",1024,"Manga"
"1907","Kakutou Bijin Wulong: Rebirth","TMS Entertainment","6.9",7791,"Manga"
"1908","Mizuiro Jidai","Nippon Animation","6.9",7568,"Manga"
"1909","Battle Athletess Daiundoukai (TV)","AIC","6.9",5610,"Original"
"1910","Kinnikuman II Sei","Toei Animation","6.9",4449,"Manga"
"1911","Koutetsushin Jeeg","Actas","6.9",6271,"Original"
"1912","Dragon Quest: Abel Yuusha Densetsu","Studio Comet","6.9",6787,"Game"
"1913","Hakaba Kitarou","Toei Animation","6.9",4923,"Manga"
"1914","Monkey Punch: Manga Katsudou Daishashin","TMS Entertainment","6.9",9415,"Unknown"
"1915","Mini Van","DLE","6.9",9352,"4-koma manga"
"1916","Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.","Asread","6.9",607,"Light novel"
"1917","Futsuu no Joshikousei ga [Locodol] Yattemita.","feel.","6.9",2594,"4-koma manga"
"1918","Taimadou Gakuen 35 Shiken Shoutai","SILVER LINK.","6.9",603,"Light novel"
"1919","Denpa Kyoushi (TV)","A-1 Pictures","6.9",1150,"Manga"
"1920","Wakaba*Girl","Nexus","6.9",2651,"4-koma manga"
"1921","Gakusen Toshi Asterisk","A-1 Pictures","6.9",250,"Light novel"
"1922","Aho Girl","Diomedéa","6.9",406,"4-koma manga"
"1923","Uchi Tama?! Uchi no Tama Shirimasen ka?","MAPPA, Lapin Track","6.9",4057,"Original"
"1924","Futakoi Alternative","ufotable, feel., Studio Flag","6.91",3071,"Original"
"1925","Shingetsutan Tsukihime","J.C.Staff","6.91",1086,"Visual novel"
"1926",".hack//Roots","Bee Train","6.91",1855,"Original"
"1927","Sumomomo Momomo: Chijou Saikyou no Yome","Studio Hibari","6.91",2186,"Manga"
"1928","Clamp Gakuen Tanteidan","Studio Pierrot","6.91",4648,"Manga"
"1929","Rocket Girls","Mook DLE","6.91",5633,"Light novel"
"1930","D.C.II: Da Capo II","feel.","6.91",2830,"Visual novel"
"1931","Montana Jones","Studio Junio","6.91",9638,"Original"
"1932","Chou Mashin Eiyuuden Wataru","Sunrise","6.91",9875,"Unknown"
"1933","Yuusha Tokkyuu Might Gaine","Sunrise","6.91",8544,"Original"
"1934","Tongari Boushi no Memole","Toei Animation","6.91",8879,"Original"
"1935","Mashin Eiyuuden Wataru","Sunrise","6.91",8685,"Unknown"
"1936","Freezing","A.C.G.T.","6.91",531,"Manga"
"1937","Samurai Flamenco","Manglobe","6.91",1263,"Original"
"1938","Seiken Tsukai no World Break","Diomedéa","6.91",615,"Light novel"
"1939","Tribe Cool Crew","Sunrise, Bandai Namco Pictures","6.91",6828,"Original"
"1940","Jitsu wa Watashi wa","TMS Entertainment, 3xCube","6.91",761,"Manga"
"1941","Shinmai Maou no Testament Burst","Production IMS","6.91",513,"Light novel"
"1942","Prince of Stride: Alternative","Madhouse","6.91",1029,"Visual novel"
"1943","Kabukichou Sherlock","Production I.G","6.91",1850,"Original"
"1944","Show By Rock!! Mashumairesh!!","Kinema Citrus","6.91",4971,"Game"
"1945","Ninin ga Shinobuden","ufotable","6.92",2957,"Manga"
"1946","Aa! Megami-sama!: Chichaitte Koto wa Benri da ne","OLM","6.92",3652,"4-koma manga"
"1947","Samurai Deeper Kyou","Studio Deen","6.92",2275,"Manga"
"1948","Binchou-tan","Studio Deen","6.92",5023,"Manga"
"1949","Generator Gawl","Tatsunoko Production","6.92",5295,"Original"
"1950","Tenpou Ibun: Ayakashi Ayashi","Bones","6.92",4187,"Original"
"1951","Amatsuki","Studio Deen","6.92",2190,"Manga"
"1952","Yume no Crayon Oukoku","Toei Animation","6.92",8062,"Book"
"1953","Kinnikuman II Sei: Ultimate Muscle","Toei Animation","6.92",6137,"Manga"
"1954","Moshidora","Production I.G","6.92",3685,"Novel"
"1955","Rinne no Lagrange","Xebec","6.92",2010,"Original"
"1956","Iron Kid","Daewon Media","6.92",7525,"Unknown"
"1957","Gokukoku no Brynhildr","Arms","6.92",505,"Manga"
"1958","Gamers!","Pine Jam","6.92",283,"Light novel"
"1959","Kirakira☆Precure A La Mode","Toei Animation","6.92",5316,"Original"
"1960","Ryuuou no Oshigoto!","Project No.9","6.92",1105,"Light novel"
"1961","Tenjou Tenge","Madhouse","6.93",934,"Manga"
"1962","PopoloCrois","TMS Entertainment","6.93",9338,"Game"
"1963","Shinigami no Ballad.","Group TAC, Ginga Ya","6.93",2492,"Light novel"
"1964","Bakuten Shoot Beyblade G Revolution","Madhouse","6.93",2598,"Manga"
"1965","Rockman.EXE","Xebec","6.93",2895,"Game"
"1966","NG Knight Ramune & 40","Production Reed","6.93",8362,"Original"
"1967","Gegege no Kitarou (2007)","Toei Animation","6.93",6949,"Manga"
"1968","Urayasu Tekkin Kazoku","Studio Deen","6.93",9376,"Manga"
"1969","Kurozuka","Madhouse","6.93",1632,"Manga"
"1970","Genji Monogatari Sennenki","TMS Entertainment, Tezuka Productions","6.93",4510,"Novel"
"1971","Omamori Himari","Zexcs","6.93",729,"Manga"
"1972","Shouwa Monogatari","WAO World","6.93",6452,"Original"
"1973","Daitoshokan no Hitsujikai","Hoods Entertainment, Felix Film","6.93",1347,"Visual novel"
"1974","Starmyu","C-Station","6.93",2594,"Original"
"1975","Servamp","Brain's Base, Platinum Vision","6.93",738,"Manga"
"1976","Reikenzan: Eichi e no Shikaku","Studio Deen","6.93",2658,"Light novel"
"1977","Meiji Tokyo Renka","TMS Entertainment","6.93",2869,"Visual novel"
"1978","Back Street Girls: Gokudolls","J.C.Staff","6.93",1481,"Manga"
"1979","Kiratto Pri☆chan","Tatsunoko Production, Dongwoo A&E","6.93",7274,"Game"
"1980","Anima Yell!","Doga Kobo","6.93",2840,"4-koma manga"
"1981","Hanebado!","LIDENFILMS","6.93",1176,"Manga"
"1982","Pita Ten","Madhouse","6.94",3626,"Manga"
"1983","Zettai Shounen","Ajia-Do","6.94",3946,"Original"
"1984","Gokujou Seitokai","J.C.Staff","6.94",3955,"Original"
"1985","Battle Programmer Shirase","AIC","6.94",2965,"Original"
"1986","Night Walker: Mayonaka no Tantei","AIC","6.94",4006,"Visual novel"
"1987","Futari wa Precure: Max Heart","Toei Animation","6.94",4351,"Original"
"1988","Jungle Book Shounen Mowgli","Nippon Animation","6.94",6231,"Book"
"1989","Blassreiter","Gonzo","6.94",1752,"Original"
"1990","Tantei Opera Milky Holmes","J.C.Staff","6.94",2564,"Original"
"1991","B-gata H-kei","Hal Film Maker, TYO Animations","6.94",423,"4-koma manga"
"1992","gdgd Fairies 2","Unknown","6.94",8697,"Original"
"1993","Kimi no Iru Machi","Gonzo","6.94",1195,"Manga"
"1994","Occultic;Nine","A-1 Pictures","6.94",889,"Light novel"
"1995","Osake wa Fuufu ni Natte kara","Creators in Pack","6.94",1097,"Web manga"
"1996","Jashin-chan Dropkick","Nomad","6.94",1754,"Web manga"
"1997","Kumo Desu ga, Nani ka?","Millepensee","6.94",1127,"Light novel"
"1998","Endro~!","Studio Gokumi","6.94",2107,"Original"
"1999","Otogi Juushi Akazukin","Madhouse","6.95",6015,"Original"
"2000","Digimon Savers","Toei Animation","6.95",1800,"Original"
"2001","Shinkon Gattai Godannar!! 2nd Season","OLM","6.95",5689,"Original"
"2002","Hyper Police","Studio Pierrot","6.95",5235,"Manga"
"2003","SF Saiyuuki Starzinger","Toei Animation","6.95",8730,"Original"
"2004","Kagaku Ninja-tai Gatchaman","Tatsunoko Production","6.95",5330,"Original"
"2005","Onegai! Samia Don","TMS Entertainment","6.95",10929,"Unknown"
"2006","Ochamegami Monogatari: Korokoro Pollon","Unknown","6.95",8587,"Manga"
"2007","Bosco Daibouken","Nippon Animation","6.95",9868,"Book"
"2008","Kurogane no Linebarrels","Gonzo","6.95",2580,"Manga"
"2009","Asura Cryin'","Seven Arcs","6.95",1520,"Light novel"
"2010","Yumekui Merry","J.C.Staff","6.95",1200,"Manga"
"2011","Tesagure! Bukatsumono Spin-off Purupurun Sharumu to Asobou","Yaoyorozu","6.95",7414,"Original"
"2012","Tsukiuta. The Animation","Studio Pierrot","6.95",3457,"Music"
"2013","Gate Keepers","Gonzo","6.96",3717,"Game"
"2014","Zone of the Enders: Dolores, I","Sunrise","6.96",4881,"Game"
"2015","Idaten Jump","Production I.G","6.96",4960,"Manga"
"2016","Ai Shoujo Pollyanna Story","Nippon Animation","6.96",6895,"Novel"
"2017","Bakusou Kyoudai Let's & Go WGP","Xebec","6.96",6649,"Manga"
"2018","Aoki Ryuusei SPT Layzner","Sunrise","6.96",6522,"Original"
"2019","Watashi to Watashi: Futari no Lotte","Tokyo Movie Shinsha","6.96",10611,"Novel"
"2020","Fractale","A-1 Pictures, Ordet","6.96",1756,"Original"
"2021","A-Channel","Studio Gokumi","6.96",1566,"4-koma manga"
"2022","Dog Days","Seven Arcs","6.96",908,"Original"
"2023","Busou Shoujo Machiavellianism","SILVER LINK., Connect","6.96",560,"Manga"
"2024","BanG Dream!","Xebec, Issen","6.96",1976,"Original"
"2025","Kyokou Suiri","Brain's Base","6.96",552,"Manga"
"2026","Inu to Neko Docchi mo Katteru to Mainichi Tanoshii","Team TillDawn","6.96",5238,"Manga"
"2027","El Hazard: The Wanderers","AIC","6.97",4198,"Original"
"2028","Tottoko Hamtarou","TMS Entertainment","6.97",2359,"Manga"
"2029","UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku","TNK","6.97",5249,"Manga"
"2030","Ryuusei no Rockman Tribe","Xebec","6.97",6203,"Game"
"2031","Macademi Wasshoi!","Zexcs","6.97",2579,"Light novel"
"2032","Kinnikuman II Sei: Ultimate Muscle 2","Toei Animation","6.97",6501,"Manga"
"2033","Dog Days''","Seven Arcs Pictures","6.97",1960,"Original"
"2034","Namiuchigiwa no Muromi-san","Tatsunoko Production","6.97",2663,"Manga"
"2035","Release the Spyce","Lay-duce","6.97",2099,"Original"
"2036","Uchi no Maid ga Uzasugiru!","Doga Kobo","6.97",1559,"Manga"
"2037","Bouken Ou Beet","Toei Animation","6.98",4369,"Manga"
"2038",".hack//Sign","Bee Train","6.98",940,"Original"
"2039","Mahou Sensei Negima!","Xebec","6.98",1208,"Manga"
"2040","Otogizoushi","Production I.G","6.98",4143,"Original"
"2041","Densetsu Kyojin Ideon","Sunrise","6.98",4610,"Original"
"2042","Renkin San-kyuu Magical? Pokaan","Remic","6.98",3153,"Original"
"2043","Mushrambo","Toei Animation","6.98",4374,"Original"
"2044","Kishin Douji Zenki","Studio Deen","6.98",4757,"Manga"
"2045","Devil May Cry","Madhouse","6.98",563,"Game"
"2046","YAT Anshin! Uchuu Ryokou","Xebec, Group TAC","6.98",9380,"Original"
"2047","Rosario to Vampire Capu2","Gonzo","6.98",394,"Manga"
"2048","World Destruction: Sekai Bokumetsu no Rokunin","Production I.G","6.98",2345,"Game"
"2049","Battle Spirits: Shounen Gekiha Dan","Sunrise","6.98",8230,"Card game"
"2050","Inazuma Eleven Go","OLM","6.98",2143,"Game"
"2051","Aldnoah.Zero 2nd Season","A-1 Pictures, TROYCA","6.98",552,"Original"
"2052","Anne Happy♪","SILVER LINK.","6.98",1959,"Manga"
"2053","Tiger Mask W","Toei Animation","6.98",3780,"Manga"
"2054","Isekai Maou to Shoukan Shoujo no Dorei Majutsu","Ajia-Do","6.98",307,"Light novel"
"2055","Jinzou Ningen Kikaider The Animation","Radix","6.99",5300,"Unknown"
"2056","Tokyo Mew Mew","Studio Pierrot","6.99",1251,"Manga"
"2057","Project ARMS","TMS Entertainment","6.99",4711,"Manga"
"2058","Koisuru Tenshi Angelique: Kagayaki no Ashita","Satelight","6.99",5080,"Game"
"2059","Ninja Senshi Tobikage","Studio Pierrot","6.99",7481,"Original"
"2060","Porphy no Nagai Tabi","Nippon Animation","6.99",8401,"Novel"
"2061","Monochrome Factor","A.C.G.T.","6.99",2208,"Manga"
"2062","Maria†Holic Alive","Shaft","6.99",2082,"Manga"
"2063","Rinne no Lagrange Season 2","Xebec","6.99",3261,"Original"
"2064","Choujigen Game Neptune The Animation","David Production","6.99",1116,"Game"
"2065","Wake Up, Girls!","Tatsunoko Production, Ordet","6.99",2354,"Original"
"2066","Punch Line","MAPPA","6.99",797,"Original"
"2067","Keppeki Danshi! Aoyama-kun","Studio Hibari","6.99",1227,"Manga"
"2068","Peach Girl","Studio Comet","7.0",1683,"Manga"
"2069","Starship Operators","J.C.Staff","7.0",4346,"Light novel"
"2070","Tsukuyomi: Moon Phase","Shaft","7.0",1896,"Manga"
"2071","Futari wa Precure","Toei Animation","7.0",2747,"Original"
"2072","Astro Boy: Tetsuwan Atom","Tezuka Productions","7.0",3912,"Manga"
"2073","Dr. Slump","Toei Animation","7.0",4226,"Manga"
"2074","Stop!! Hibari-kun!","Toei Animation","7.0",6296,"Manga"
"2075","Strike Witches","Gonzo","7.0",1019,"Original"
"2076","Dragon League","Unknown","7.0",9870,"Unknown"
"2077","Hime Chen! Otogi Chikku Idol Lilpri","TMS Entertainment","7.0",5159,"Game"
"2078","Kuruneko 2nd Season","Studio Deen, DAX Production","7.0",10086,"Manga"
"2079","Furusato Saisei: Nippon no Mukashibanashi","Tomason","7.0",4975,"Other"
"2080","Orenchi no Furo Jijou","Asahi Production","7.0",1578,"4-koma manga"
"2081","Mahou Shoujo Ikusei Keikaku","Lerche","7.0",1154,"Light novel"
"2082","UQ Holder!: Mahou Sensei Negima! 2","J.C.Staff","7.0",1094,"Manga"
"2083","To Be Hero","Haoliners Animation League","7.0",2272,"Original"
"2084","Azur Lane: Bisoku Zenshin!","Yostar Pictures, CANDY BOX","7.0",3718,"4-koma manga"
"2085","D.C.S.S: Da Capo Second Season","feel.","7.01",2954,"Visual novel"
"2086","Kachou Ouji","AIC, APPP","7.01",3249,"Original"
"2087","Daisougen no Chiisana Tenshi: Bush Baby","Nippon Animation","7.01",8811,"Novel"
